,high_income,inequality,low_income,state,,,,,,,,,,,,,,,
7.5,0.087141706,0.098565404,0.100345961,0.06980519,,,,,,,,,,,,,,, 
12.5,0.042434097,0.049756865,0.028439904,0.04864227,,,,,,,,,,,,,,,
17.5,0.078090825,0.09483263,0.08351675,0.04297521,,,,,,,,,,,,,,,
22.5,0.032361575,0.030931579,0.027193878,0.03792798,,,,,,,,,,,,,,,
27.5,0.096681823,0.092431549,0.129748702,0.0420307,,,,,,,,,,,,,,,
32.5,0.039599401,0.028510321,0.026729765,0.03031287,,,,,,,,,,,,,,,
37.5,0.090077127,0.113617562,0.225146746,0.03004723,,,,,,,,,,,,,,,
42.5,0.044750777,0.025403039,0.021473488,0.03178867,,,,,,,,,,,,,,,
47.5,0.039714516,0.027642703,0.026367914,0.02579693,,,,,,,,,,,,,,,
55,0.044937838,0.02092371,0.024081961,0.05699528,,,,,,,,,,,,,,,
67.5,0.029685162,0.058352333,0.025666238,0.06942149,,,,,,,,,,,,,,,
87.5,0.04047715,0.042735215,0.022760419,0.11995277,,,,,,,,,,,,,,,
112.5,0.071068838,0.064728315,0.044952889,0.09179457,,,,,,,,,,,,,,,
137.5,0.078723955,0.106817861,0.066080259,0.06171783,,,,,,,,,,,,,,,
175,0.041470013,0.040878917,0.03896347,0.09631051,,,,,,,,,,,,,,,
250,0.142785196,0.103871996,0.108531656,0.1444805,,,,,,,,,,,,,,,